1760 440
Epoch: 1/100| Avg loss: 168.65306
Epoch: 2/100| Avg loss: 127.29302
Epoch: 3/100| Avg loss: 97.11318
Epoch: 4/100| Avg loss: 73.98397
Epoch: 5/100| Avg loss: 57.40685
Epoch: 6/100| Avg loss: 45.75117
Epoch: 7/100| Avg loss: 37.64287
Epoch: 8/100| Avg loss: 31.94513
Epoch: 9/100| Avg loss: 27.76172
Epoch: 10/100| Avg loss: 24.54973
Epoch: 11/100| Avg loss: 22.01638
Epoch: 12/100| Avg loss: 19.95808
Epoch: 13/100| Avg loss: 18.24734
Epoch: 14/100| Avg loss: 16.79370
Epoch: 15/100| Avg loss: 15.54634
Epoch: 16/100| Avg loss: 14.46779
Epoch: 17/100| Avg loss: 13.53425
Epoch: 18/100| Avg loss: 12.71213
Epoch: 19/100| Avg loss: 11.98042
Epoch: 20/100| Avg loss: 11.32412
Epoch: 21/100| Avg loss: 10.73409
Epoch: 22/100| Avg loss: 10.19975
Epoch: 23/100| Avg loss: 9.71346
Epoch: 24/100| Avg loss: 9.26918
Epoch: 25/100| Avg loss: 8.86492
Epoch: 26/100| Avg loss: 8.48991
Epoch: 27/100| Avg loss: 8.14619
Epoch: 28/100| Avg loss: 7.82888
Epoch: 29/100| Avg loss: 7.53585
Epoch: 30/100| Avg loss: 7.26510
Epoch: 31/100| Avg loss: 7.01113
Epoch: 32/100| Avg loss: 6.77393
Epoch: 33/100| Avg loss: 6.55345
Epoch: 34/100| Avg loss: 6.34527
Epoch: 35/100| Avg loss: 6.14874
Epoch: 36/100| Avg loss: 5.96338
Epoch: 37/100| Avg loss: 5.79026
Epoch: 38/100| Avg loss: 5.62630
Epoch: 39/100| Avg loss: 5.47163
Epoch: 40/100| Avg loss: 5.32527
Epoch: 41/100| Avg loss: 5.18801
Epoch: 42/100| Avg loss: 5.05760
Epoch: 43/100| Avg loss: 4.93245
Epoch: 44/100| Avg loss: 4.81386
Epoch: 45/100| Avg loss: 4.70145
Epoch: 46/100| Avg loss: 4.59367
Epoch: 47/100| Avg loss: 4.49182
Epoch: 48/100| Avg loss: 4.39189
Epoch: 49/100| Avg loss: 4.29741
Epoch: 50/100| Avg loss: 4.20796
Epoch: 51/100| Avg loss: 4.12178
Epoch: 52/100| Avg loss: 4.04054
Epoch: 53/100| Avg loss: 3.96152
Epoch: 54/100| Avg loss: 3.88604
Epoch: 55/100| Avg loss: 3.81367
Epoch: 56/100| Avg loss: 3.74348
Epoch: 57/100| Avg loss: 3.67537
Epoch: 58/100| Avg loss: 3.61065
Epoch: 59/100| Avg loss: 3.54841
Epoch: 60/100| Avg loss: 3.48681
Epoch: 61/100| Avg loss: 3.42982
Epoch: 62/100| Avg loss: 3.37175
Epoch: 63/100| Avg loss: 3.31736
Epoch: 64/100| Avg loss: 3.26401
Epoch: 65/100| Avg loss: 3.21375
Epoch: 66/100| Avg loss: 3.16321
Epoch: 67/100| Avg loss: 3.11496
Epoch: 68/100| Avg loss: 3.06846
Epoch: 69/100| Avg loss: 3.02397
Epoch: 70/100| Avg loss: 2.97892
Epoch: 71/100| Avg loss: 2.93754
Epoch: 72/100| Avg loss: 2.89537
Epoch: 73/100| Avg loss: 2.85637
Epoch: 74/100| Avg loss: 2.81716
Epoch: 75/100| Avg loss: 2.78049
Epoch: 76/100| Avg loss: 2.74341
Epoch: 77/100| Avg loss: 2.70863
Epoch: 78/100| Avg loss: 2.67320
Epoch: 79/100| Avg loss: 2.64052
Epoch: 80/100| Avg loss: 2.60788
Epoch: 81/100| Avg loss: 2.57547
Epoch: 82/100| Avg loss: 2.54488
Epoch: 83/100| Avg loss: 2.51456
Epoch: 84/100| Avg loss: 2.48463
Epoch: 85/100| Avg loss: 2.45599
Epoch: 86/100| Avg loss: 2.42815
Epoch: 87/100| Avg loss: 2.40054
Epoch: 88/100| Avg loss: 2.37322
Epoch: 89/100| Avg loss: 2.34829
Epoch: 90/100| Avg loss: 2.32288
Epoch: 91/100| Avg loss: 2.29816
Epoch: 92/100| Avg loss: 2.27356
Epoch: 93/100| Avg loss: 2.25071
Epoch: 94/100| Avg loss: 2.22783
Epoch: 95/100| Avg loss: 2.20598
Epoch: 96/100| Avg loss: 2.18350
Epoch: 97/100| Avg loss: 2.16148
Epoch: 98/100| Avg loss: 2.14140
Epoch: 99/100| Avg loss: 2.12069
Epoch: 100/100| Avg loss: 2.10046
Test acc: 98.86%
