Epoch: 1/100| Avg loss: 1.89566
Epoch: 2/100| Avg loss: 1.76815
Epoch: 3/100| Avg loss: 1.65580
Epoch: 4/100| Avg loss: 1.55409
Epoch: 5/100| Avg loss: 1.46277
Epoch: 6/100| Avg loss: 1.37990
Epoch: 7/100| Avg loss: 1.30766
Epoch: 8/100| Avg loss: 1.24418
Epoch: 9/100| Avg loss: 1.18837
Epoch: 10/100| Avg loss: 1.14279
Epoch: 11/100| Avg loss: 1.10603
Epoch: 12/100| Avg loss: 1.07499
Epoch: 13/100| Avg loss: 1.04850
Epoch: 14/100| Avg loss: 1.02557
Epoch: 15/100| Avg loss: 1.00746
Epoch: 16/100| Avg loss: 0.99173
Epoch: 17/100| Avg loss: 0.97632
Epoch: 18/100| Avg loss: 0.96038
Epoch: 19/100| Avg loss: 0.94388
Epoch: 20/100| Avg loss: 0.92647
Epoch: 21/100| Avg loss: 0.90966
Epoch: 22/100| Avg loss: 0.89438
Epoch: 23/100| Avg loss: 0.87901
Epoch: 24/100| Avg loss: 0.86411
Epoch: 25/100| Avg loss: 0.85067
Epoch: 26/100| Avg loss: 0.83856
Epoch: 27/100| Avg loss: 0.82821
Epoch: 28/100| Avg loss: 0.81894
Epoch: 29/100| Avg loss: 0.80934
Epoch: 30/100| Avg loss: 0.79901
Epoch: 31/100| Avg loss: 0.78803
Epoch: 32/100| Avg loss: 0.77744
Epoch: 33/100| Avg loss: 0.76651
Epoch: 34/100| Avg loss: 0.75538
Epoch: 35/100| Avg loss: 0.74501
Epoch: 36/100| Avg loss: 0.73605
Epoch: 37/100| Avg loss: 0.72731
Epoch: 38/100| Avg loss: 0.71804
Epoch: 39/100| Avg loss: 0.70880
Epoch: 40/100| Avg loss: 0.69973
Epoch: 41/100| Avg loss: 0.69085
Epoch: 42/100| Avg loss: 0.68203
Epoch: 43/100| Avg loss: 0.67343
Epoch: 44/100| Avg loss: 0.66567
Epoch: 45/100| Avg loss: 0.65829
Epoch: 46/100| Avg loss: 0.65111
Epoch: 47/100| Avg loss: 0.64506
Epoch: 48/100| Avg loss: 0.63942
Epoch: 49/100| Avg loss: 0.63360
Epoch: 50/100| Avg loss: 0.62798
Epoch: 51/100| Avg loss: 0.62289
Epoch: 52/100| Avg loss: 0.61861
Epoch: 53/100| Avg loss: 0.61456
Epoch: 54/100| Avg loss: 0.61022
Epoch: 55/100| Avg loss: 0.60547
Epoch: 56/100| Avg loss: 0.60128
Epoch: 57/100| Avg loss: 0.59786
Epoch: 58/100| Avg loss: 0.59470
Epoch: 59/100| Avg loss: 0.59133
Epoch: 60/100| Avg loss: 0.58800
Epoch: 61/100| Avg loss: 0.58503
Epoch: 62/100| Avg loss: 0.58230
Epoch: 63/100| Avg loss: 0.57977
Epoch: 64/100| Avg loss: 0.57678
Epoch: 65/100| Avg loss: 0.57429
Epoch: 66/100| Avg loss: 0.57203
Epoch: 67/100| Avg loss: 0.56982
Epoch: 68/100| Avg loss: 0.56763
Epoch: 69/100| Avg loss: 0.56534
Epoch: 70/100| Avg loss: 0.56308
Epoch: 71/100| Avg loss: 0.56093
Epoch: 72/100| Avg loss: 0.55898
Epoch: 73/100| Avg loss: 0.55709
Epoch: 74/100| Avg loss: 0.55510
Epoch: 75/100| Avg loss: 0.55327
Epoch: 76/100| Avg loss: 0.55145
Epoch: 77/100| Avg loss: 0.54976
Epoch: 78/100| Avg loss: 0.54802
Epoch: 79/100| Avg loss: 0.54638
Epoch: 80/100| Avg loss: 0.54469
Epoch: 81/100| Avg loss: 0.54313
Epoch: 82/100| Avg loss: 0.54155
Epoch: 83/100| Avg loss: 0.54007
Epoch: 84/100| Avg loss: 0.53854
Epoch: 85/100| Avg loss: 0.53712
Epoch: 86/100| Avg loss: 0.53567
Epoch: 87/100| Avg loss: 0.53431
Epoch: 88/100| Avg loss: 0.53295
Epoch: 89/100| Avg loss: 0.53161
Epoch: 90/100| Avg loss: 0.53032
Epoch: 91/100| Avg loss: 0.52906
Epoch: 92/100| Avg loss: 0.52778
Epoch: 93/100| Avg loss: 0.52657
Epoch: 94/100| Avg loss: 0.52537
Epoch: 95/100| Avg loss: 0.52418
Epoch: 96/100| Avg loss: 0.52301
Epoch: 97/100| Avg loss: 0.52189
Epoch: 98/100| Avg loss: 0.52075
Epoch: 99/100| Avg loss: 0.51964
Epoch: 100/100| Avg loss: 0.51857
Model sacuvan u model.pth
